Play,Act,Scene,Character,Line Number,Text
A Midsummer Night's Dream,1,2,BOTTOM,5,"tyrant: I could play Ercles rarely, or a part to"
A Midsummer Night's Dream,1,2,BOTTOM,6,"tear a cat in, to make all split."
A Midsummer Night's Dream,1,2,BOTTOM,7,The raging rocks
A Midsummer Night's Dream,1,2,BOTTOM,8,And shivering shocks
A Midsummer Night's Dream,1,2,BOTTOM,9,Shall break the locks
A Midsummer Night's Dream,1,2,BOTTOM,10,Of prison gates;
A Midsummer Night's Dream,1,2,BOTTOM,11,And Phibbus' car
A Midsummer Night's Dream,1,2,BOTTOM,12,Shall shine from far
A Midsummer Night's Dream,1,2,BOTTOM,13,And make and mar
A Midsummer Night's Dream,1,2,BOTTOM,14,The foolish Fates.
A Midsummer Night's Dream,1,2,BOTTOM,15,This was lofty! Now name the rest of the players.
A Midsummer Night's Dream,1,2,BOTTOM,16,"This is Ercles' vein, a tyrant's vein; a lover is"
A Midsummer Night's Dream,1,2,BOTTOM,17,more condoling.
A Midsummer Night's Dream,1,2,QUINCE,1,"Francis Flute, the bellows-mender."
A Midsummer Night's Dream,1,2,FLUTE,1,"Here, Peter Quince."
A Midsummer Night's Dream,1,2,QUINCE,1,"Flute, you must take Thisby on you."
A Midsummer Night's Dream,1,2,FLUTE,1,What is Thisby? a wandering knight?
A Midsummer Night's Dream,1,2,QUINCE,1,It is the lady that Pyramus must love.
A Midsummer Night's Dream,1,2,FLUTE,1,"Nay, faith, let me not play a woman; I have a beard coming."
A Midsummer Night's Dream,1,2,QUINCE,1,"That's all one: you shall play it in a mask, and"
A Midsummer Night's Dream,1,2,QUINCE,2,you may speak as small as you will.
A Midsummer Night's Dream,1,2,BOTTOM,1,"An I may hide my face, let me play Thisby too, I'll"
A Midsummer Night's Dream,1,2,BOTTOM,2,"speak in a monstrous little voice. 'Thisne,"
A Midsummer Night's Dream,1,2,BOTTOM,3,"Thisne;' 'Ah, Pyramus, lover dear! thy Thisby dear,"
A Midsummer Night's Dream,1,2,BOTTOM,4,and lady dear!'
A Midsummer Night's Dream,1,2,QUINCE,1,"No, no; you must play Pyramus: and, Flute, you Thisby."
A Midsummer Night's Dream,1,2,BOTTOM,1,"Well, proceed."
A Midsummer Night's Dream,1,2,QUINCE,1,"Robin Starveling, the tailor."
A Midsummer Night's Dream,1,2,STARVELING,1,"Here, Peter Quince."
A Midsummer Night's Dream,1,2,QUINCE,1,"Robin Starveling, you must play Thisby's mother."
A Midsummer Night's Dream,1,2,QUINCE,2,"Tom Snout, the tinker."
A Midsummer Night's Dream,1,2,SNOUT,1,"Here, Peter Quince."
A Midsummer Night's Dream,1,2,QUINCE,1,"You, Pyramus' father: myself, Thisby's father:"
A Midsummer Night's Dream,1,2,QUINCE,2,"Snug, the joiner; you, the lion's part: and, I"
A Midsummer Night's Dream,1,2,QUINCE,3,"hope, here is a play fitted."
A Midsummer Night's Dream,1,2,SNUG,1,"Have you the lion's part written? pray you, if it"
A Midsummer Night's Dream,1,2,SNUG,2,"be, give it me, for I am slow of study."
A Midsummer Night's Dream,1,2,QUINCE,1,"You may do it extempore, for it is nothing but roaring."
A Midsummer Night's Dream,1,2,BOTTOM,1,"Let me play the lion too: I will roar, that I will"
A Midsummer Night's Dream,1,2,BOTTOM,2,"do any man's heart good to hear me; I will roar,"
A Midsummer Night's Dream,1,2,BOTTOM,3,"that I will make the duke say 'Let him roar again,"
A Midsummer Night's Dream,1,2,BOTTOM,4,let him roar again.'
A Midsummer Night's Dream,1,2,QUINCE,1,"An you should do it too terribly, you would fright"
A Midsummer Night's Dream,1,2,QUINCE,2,"the duchess and the ladies, that they would shriek;"
A Midsummer Night's Dream,1,2,QUINCE,3,and that were enough to hang us all.
A Midsummer Night's Dream,1,2,ALL,1,"That would hang us, every mother's son."
A Midsummer Night's Dream,1,2,BOTTOM,1,"I grant you, friends, if that you should fright the"
A Midsummer Night's Dream,1,2,BOTTOM,2,"ladies out of their wits, they would have no more"
A Midsummer Night's Dream,1,2,BOTTOM,3,discretion but to hang us: but I will aggravate my
A Midsummer Night's Dream,1,2,BOTTOM,4,voice so that I will roar you as gently as any
A Midsummer Night's Dream,1,2,BOTTOM,5,sucking dove; I will roar you an 'twere any
A Midsummer Night's Dream,1,2,BOTTOM,6,nightingale.
A Midsummer Night's Dream,1,2,QUINCE,1,You can play no part but Pyramus; for Pyramus is a
